time,phoneme,vocalic,strident,nasal,back,stop,pause
1.4000000000000001,t,0.036708586,0.5521213,0.0035957866,0.07186857,0.9633844,0.09607356
1.41,t,0.051157616,0.6912977,0.004019054,0.09761052,0.9447876,0.0849963
1.42,t,0.1874327,0.7390992,0.009650309,0.30569762,0.9076421,0.061479922
1.43,a,0.63573575,0.56040895,0.028021947,0.77805763,0.76363295,0.028994825
1.44,a,0.8746032,0.2107619,0.035173073,0.94049245,0.39898926,0.016593926
1.45,a,0.9651499,0.059717875,0.017548269,0.9851069,0.13661975,0.0029229843
1.46,a,0.9851796,0.014374266,0.0089161005,0.9933733,0.05088902,0.0006199834
1.47,a,0.9917657,0.0026162674,0.0066762413,0.9945434,0.017611079,0.00022396837
1.48,a,0.9901814,0.0018922476,0.008643115,0.9920211,0.015718833,0.00014064672
1.49,a,0.97402304,0.006152613,0.02816481,0.98019266,0.020794837,0.0001871423
1.5,a,0.89725393,0.017782189,0.11212668,0.92752427,0.032594573,0.00049931824
1.51,a,0.65777886,0.07756904,0.44097856,0.77249223,0.07970664,0.01128701
1.52,l,0.19155557,0.17537,0.41274527,0.33628345,0.41166413,0.50267625
1.53,l,0.06933719,0.18942314,0.38451198,0.10548457,0.6099091,0.8049447
1.54,<p:>,0.058481734,0.17053701,0.2526408,0.06349782,0.71917623,0.851562
1.55,<p:>,0.054639686,0.1642349,0.23014948,0.046703763,0.7374661,0.87242067
1.56,<p:>,0.049791157,0.17179388,0.1905611,0.035927106,0.767178,0.8763674
1.57,<p:>,0.04064189,0.18036583,0.12740274,0.02923946,0.80168086,0.87331736
1.58,<p:>,0.023327356,0.27207494,0.043453075,0.021514552,0.8064649,0.87205595
1.59,<p:>,0.029118827,0.26178914,0.023306174,0.02760902,0.7821506,0.88414687
1.6,k,0.07614475,0.65893775,0.063066125,0.08345889,0.884945,0.5585691
1.61,k,0.055001024,0.677086,0.03779606,0.054606978,0.9103343,0.48574868
1.62,k,0.049984764,0.6225765,0.026785776,0.041231524,0.9462686,0.35949525
1.6300000000000001,tS,0.04366935,0.74158376,0.012822132,0.024016518,0.967295,0.20454404
1.6400000000000001,tS,0.035169724,0.7998802,0.0062121195,0.012932349,0.9726573,0.12871821
1.6500000000000001,tS,0.04225466,0.8127268,0.0040952084,0.009725963,0.97077495,0.080083534
1.6600000000000001,tS,0.047798097,0.8173342,0.00333432,0.010016195,0.9644699,0.066109225
1.67,tS,0.059178755,0.79766387,0.0035995815,0.014548221,0.94983363,0.061308328
1.68,tS,0.09349715,0.7453159,0.006265026,0.04108001,0.90273345,0.08951487
1.69,tS,0.34368163,0.61653155,0.025853045,0.46768886,0.85160315,0.050669435
